0.0073849 40 0.00100789 19.515 167.52 2429.4 167.53 2573.5 0.5724 8.2555
0.0075 40.29 0.001008 19.233 168.74 2429.8 168.75 2574 0.57627 8.2501
0.0077878 41 0.00100828 18.563 171.7 2430.7 171.71 2575.3 0.58573 8.2368
0.008 41.509 0.00100848 18.099 173.83 2431.4 173.84 2576.2 0.59249 8.2273
0.0082096 42 0.00100868 17.664 175.88 2432.1 175.89 2577.1 0.59901 8.2182
0.0085 42.663 0.00100895 17.095 178.66 2433 178.67 2578.3 0.6078 8.206
0.0086508 43 0.00100909 16.814 180.06 2433.4 180.07 2578.9 0.61225 8.1998
0.009 43.761 0.0010094 16.199 183.24 2434.4 183.25 2580.2 0.6223 8.1858
0.0091124 44 0.0010095 16.011 184.24 2434.7 184.25 2580.6 0.62545 8.1815
0.0095 44.807 0.00100984 15.396 187.62 2435.8 187.63 2582.1 0.63607 8.1668
0.009595 45 0.00100992 15.252 188.42 2436.1 188.43 2582.4 0.63861 8.1633
0.01 45.806 0.00101027 14.67 191.8 2437.2 191.81 2583.9 0.6492 8.1488
0.010099 46 0.00101036 14.534 192.61 2437.4 192.62 2584.2 0.65173 8.1453
0.010627 47 0.00101079 13.855 196.79 2438.8 196.8 2586 0.66481 8.1275
0.011 47.683 0.0010111 13.412 199.64 2439.7 199.65 2587.2 0.67372 8.1154
0.011177 48 0.00101124 13.212 200.97 2440.1 200.98 2587.8 0.67785 8.1098
0.011752 49 0.00101169 12.603 205.15 2441.4 205.16 2589.5 0.69085 8.0922
0.012 49.419 0.00101188 12.358 206.9 2442 206.91 2590.3 0.69628 8.0849
0.012352 50 0.00101215 12.027 209.33 2442.7 209.34 2591.3 0.70381 8.0748
0.012978 51 0.00101262 11.481 213.51 2444.1 213.52 2593.1 0.71673 8.0576
0.013 51.034 0.00101263 11.462 213.66 2444.1 213.67 2593.1 0.71717 8.057
0.013631 52 0.00101309 10.963 217.7 2445.4 217.71 2594.8 0.72961 8.0404
0.014 52.547 0.00101335 10.691 219.98 2446.1 219.99 2595.8 0.73664 8.0311
0.014312 53 0.00101357 10.472 221.88 2446.7 221.89 2596.6 0.74245 8.0234
0.015022 54 0.00101406 10.006 226.05 2448 226.07 2598.3 0.75526 8.0066
0.015762 55 0.00101455 9.5643 230.24 2449.3 230.26 2600.1 0.76802 7.9898
0.016 55.313 0.00101471 9.4306 231.55 2449.7 231.57 2600.6 0.77201 7.9846
0.016533 56 0.00101505 9.1448 234.42 2450.6 234.44 2601.8 0.78075 7.9732
0.017336 57 0.00101556 8.7466 238.6 2452 238.62 2603.6 0.79344 7.9568
0.018 57.798 0.00101597 8.4431 241.94 2453 241.96 2605 0.80355 7.9437
0.018171 58 0.00101608 8.3683 242.79 2453.2 242.81 2605.3 0.8061 7.9404
0.019041 59 0.0010166 8.0089 246.97 2454.6 246.99 2607.1 0.81871 7.9242
0.019946 60 0.00101713 7.6672 251.16 2455.9 251.18 2608.8 0.83129 7.9081
0.02 60.058 0.00101716 7.648 251.4 2455.9 251.42 2608.9 0.83202 7.9072
0.020888 61 0.00101766 7.3424 255.35 2457.2 255.37 2610.6 0.84384 7.8922
0.021867 62 0.00101821 7.0335 259.53 2458.5 259.55 2612.3 0.85634 7.8764
0.022885 63 0.00101875 6.7396 263.72 2459.8 263.74 2614 0.86882 7.8607
0.023943 64 0.00101931 6.4598 267.91 2461.1 267.93 2615.8 0.88125 7.8451
0.024 64.053 0.00101934 6.4453 268.13 2461.2 268.15 2615.9 0.88191 7.8442
0.025042 65 0.00101987 6.1935 272.09 2462.4 272.12 2617.5 0.89365 7.8296
0.026183 66 0.00102044 5.9399 276.27 2463.7 276.3 2619.2 0.90602 7.8142
0.027368 67 0.00102101 5.6984 280.46 2465 280.49 2621 0.91835 7.799
0.028 67.518 0.00102131 5.5778 282.63 2465.6 282.66 2621.8 0.92472 7.7912
0.028599 68 0.00102159 5.4682 284.65 2466.3 284.68 2622.7 0.93064 7.7839
