0.02 30 0.00100441 125.7299118 125.75 0.43675
0.02 35 0.0010064 146.629872 146.65 0.50513
0.02 40 0.00100788 167.5198424 167.54 0.5724
0.02 45 0.00100992 188.4198016 188.44 0.63861
0.02 50 0.00101215 209.329757 209.35 0.70381
0.02 55 0.00101455 230.239709 230.26 0.76802
0.02 60 0.00101713 251.1596574 251.18 0.83129
0.02 60.058 0.00101716 251.3996568 251.42 0.83202
0.02 60.058 7.648 2455.94 2608.9 7.9072
0.02 65 7.7648 2463.304 2618.6 7.936
0.02 70 7.8826 2470.648 2628.3 7.9646
0.02 75 8.0002 2477.996 2638 7.9927
0.02 80 8.1176 2485.348 2647.7 8.0202
0.02 85 8.2348 2492.704 2657.4 8.0474
0.02 90 8.3518 2499.964 2667 8.0741
0.02 95 8.4687 2507.226 2676.6 8.1004
0.02 100 8.5855 2514.49 2686.2 8.1263
0.02 105 8.7022 2521.756 2695.8 8.1519
0.02 110 8.8187 2529.026 2705.4 8.1771
0.02 115 8.9352 2536.296 2715 8.202
0.02 120 9.0516 2543.568 2724.6 8.2266
0.02 125 9.1679 2550.842 2734.2 8.2509
0.02 130 9.2841 2558.218 2743.9 8.2749
0.02 135 9.4003 2565.494 2753.5 8.2986
0.02 140 9.5164 2572.772 2763.1 8.322
0.02 145 9.6325 2580.05 2772.7 8.3451
0.02 150 9.7486 2587.328 2782.3 8.368
0.02 155 9.8646 2594.708 2792 8.3907
0.02 160 9.9805 2601.99 2801.6 8.4131
0.02 165 10.096 2609.38 2811.3 8.4352
0.02 170 10.212 2616.66 2820.9 8.4572
0.02 175 10.328 2624.04 2830.6 8.4789
0.02 180 10.444 2631.42 2840.3 8.5004
0.02 185 10.56 2638.8 2850 8.5216
0.02 190 10.676 2646.18 2859.7 8.5427
0.02 195 10.791 2653.58 2869.4 8.5636
0.02 200 10.907 2660.96 2879.1 8.5843
0.02 210 11.139 2675.82 2898.6 8.625
0.02 220 11.37 2690.8 2918.2 8.6651
0.02 230 11.601 2705.78 2937.8 8.7044
0.02 240 11.833 2720.74 2957.4 8.7431
0.02 250 12.064 2735.82 2977.1 8.7811
0.02 260 12.295 2751 2996.9 8.8185
0.02 270 12.526 2766.18 3016.7 8.8553
