900 35.526 0.00085811 0.022687 100.86 248.87 101.64 167.65 269.29 0.37387 0.54313 0.917
911.9 36 0.00085954 0.02238 101.55 249.1 102.33 167.17 269.5 0.37609 0.54074 0.91683
963.2 38 0.00086569 0.021135 104.46 250.05 105.29 165.12 270.41 0.38548 0.53067 0.91615
1000 39.388 0.00087007 0.020316 106.48 250.7 107.35 163.67 271.02 0.39199 0.52367 0.91566
1016.6 40 0.00087204 0.019966 107.38 250.99 108.27 163.01 271.28 0.39487 0.52058 0.91545
1072.2 42 0.00087859 0.018868 110.32 251.91 111.26 160.88 272.14 0.40425 0.51048 0.91473
1130.1 44 0.00088537 0.017837 113.28 252.81 114.28 158.69 272.97 0.41364 0.50036 0.914
1200 46.315 0.00089351 0.016718 116.73 253.84 117.8 156.1 273.9 0.42451 0.48861 0.91312
1252.9 48 0.00089965 0.015951 119.26 254.56 120.39 154.16 274.55 0.43243 0.48003 0.91246
1385.4 52 0.00091502 0.014276 125.33 256.23 126.6 149.41 276.01 0.45127 0.45951 0.91078
1400 52.422 0.00091671 0.01411 125.97 256.4 127.26 148.89 276.15 0.45326 0.45733 0.91059
1528.2 56 0.00093166 0.012782 131.49 257.79 132.92 144.4 277.32 0.47018 0.43874 0.90892
1600 57.906 0.0009401 0.012126 134.47 258.5 135.97 141.93 277.9 0.47923 0.42872 0.90795
1681.8 60 0.00094979 0.011444 137.76 259.24 139.36 139.13 278.49 0.48921 0.4176 0.90681
1800 62.895 0.000964 0.010562 142.38 260.2 144.11 135.1 279.21 0.50307 0.40203 0.9051
2000 67.481 0.00098877 0.0092915 149.83 261.55 151.81 128.33 280.14 0.52524 0.37674 0.90198
2116.8 70 0.0010038 0.0086527 154.01 262.19 156.14 124.37 280.51 0.53757 0.36242 0.89999
2500 77.577 0.0010569 0.0069403 167.06 263.51 169.7 111.16 280.86 0.57551 0.31695 0.89246
2633.2 80 0.0010773 0.0064483 171.41 263.69 174.25 106.42 280.67 0.58803 0.30135 0.88938
3000 86.203 0.0011413 0.0052813 183.14 263.35 186.56 92.63 279.19 0.62145 0.25778 0.87923
3244.2 90 0.0011936 0.0046134 190.91 262.3 194.78 82.49 277.27 0.64342 0.22715 0.87057
3972.4 100 0.0015357 0.0026809 219.05 248.89 225.15 34.39 259.54 0.72317 0.09214 0.81531
4059.1 101.06 0.0019535 0.0019535 233.57 233.57 241.49 0 241.49 0.76649 0 0.76649
